id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,index fit,115,44,23,72,369,ship,baseline,monotonic-signal
g002,join width,79,31,37,55,175,watch,edge,drag-penalty
g003,constraint risk,109,62,4,57,430,ship,recovery,confidence-floor
g004,plan drift,83,10,10,99,318,ship,negative,lane-boundary
g005,index fit,74,21,35,39,142,watch,baseline,monotonic-signal
g006,join width,73,29,28,99,235,ship,edge,drag-penalty
g007,constraint risk,76,71,26,48,243,ship,recovery,confidence-floor
g008,plan drift,37,59,27,27,89,hold,negative,lane-boundary
g009,index fit,65,56,29,64,199,ship,baseline,monotonic-signal
g010,join width,82,22,10,87,315,ship,edge,drag-penalty
g011,constraint risk,94,77,23,103,370,ship,recovery,confidence-floor
g012,plan drift,60,72,10,72,284,ship,negative,lane-boundary
g013,index fit,46,72,35,104,174,watch,baseline,monotonic-signal
g014,join width,87,75,19,82,342,ship,edge,drag-penalty
g015,constraint risk,111,9,13,32,322,ship,recovery,confidence-floor
g016,plan drift,82,48,11,55,305,ship,negative,lane-boundary
g017,index fit,71,35,12,71,271,ship,baseline,monotonic-signal
g018,join width,113,66,35,40,305,ship,edge,drag-penalty
g019,constraint risk,50,14,6,29,169,watch,recovery,confidence-floor
g020,plan drift,66,26,35,71,155,watch,negative,lane-boundary
g021,index fit,33,34,9,54,151,watch,baseline,monotonic-signal
g022,join width,108,76,18,56,384,ship,edge,drag-penalty
g023,constraint risk,61,64,24,98,249,ship,recovery,confidence-floor
g024,plan drift,41,26,8,38,155,watch,negative,lane-boundary
g025,index fit,35,25,22,98,140,watch,baseline,monotonic-signal
g026,join width,79,11,31,47,171,watch,edge,drag-penalty
g027,constraint risk,105,77,37,26,270,ship,recovery,confidence-floor
g028,plan drift,33,77,20,63,159,watch,negative,lane-boundary
g029,index fit,45,10,13,86,179,watch,baseline,monotonic-signal
g030,join width,98,49,11,102,401,ship,edge,drag-penalty
g031,constraint risk,84,36,12,71,311,ship,recovery,confidence-floor
g032,plan drift,68,67,14,103,318,ship,negative,lane-boundary
g033,index fit,32,15,37,81,44,hold,baseline,monotonic-signal
g034,join width,62,26,8,31,211,ship,edge,drag-penalty
g035,constraint risk,36,34,37,54,48,hold,recovery,confidence-floor
g036,plan drift,115,76,20,70,411,ship,negative,lane-boundary
g037,index fit,114,64,4,39,429,ship,baseline,monotonic-signal
g038,join width,117,61,40,28,280,ship,edge,drag-penalty
g039,constraint risk,78,27,38,70,179,watch,recovery,confidence-floor
g040,plan drift,106,12,39,53,227,ship,negative,lane-boundary
g041,index fit,35,77,20,55,157,watch,baseline,monotonic-signal
g042,join width,47,77,33,97,183,ship,edge,drag-penalty
g043,constraint risk,101,10,20,37,270,ship,recovery,confidence-floor
g044,plan drift,87,14,36,97,228,ship,negative,lane-boundary
g045,index fit,40,53,45,46,39,hold,baseline,monotonic-signal
g046,join width,64,40,9,25,221,ship,edge,drag-penalty
g047,constraint risk,35,71,35,62,98,watch,recovery,confidence-floor
